,CMake,Automake,SCons,Meson,Bazel
2004-01,15,89,12,0,5
2004-02,14,100,10,0,9
2004-03,15,78,16,0,8
2004-04,12,85,13,0,9
2004-05,14,76,19,0,5
2004-06,17,92,16,0,6
2004-07,12,85,19,0,4
2004-08,8,72,20,0,7
2004-09,11,67,17,0,8
2004-10,12,70,17,0,2
2004-11,13,71,17,0,5
2004-12,11,57,18,0,9
2005-01,17,69,17,1,4
2005-02,13,70,25,0,8
2005-03,11,63,21,0,7
2005-04,8,56,19,0,6
2005-05,13,58,24,1,6
2005-06,13,58,27,0,6
2005-07,12,50,30,0,5
2005-08,12,57,17,1,6
2005-09,12,49,29,1,10
2005-10,11,51,25,0,8
2005-11,12,52,23,0,7
2005-12,10,49,20,0,6
2006-01,15,46,20,1,8
2006-02,12,55,25,0,6
2006-03,15,50,21,0,6
2006-04,13,36,19,1,9
2006-05,15,42,17,0,4
2006-06,16,42,21,0,5
2006-07,30,41,24,0,8
2006-08,23,40,25,0,6
2006-09,24,40,23,0,6
2006-10,24,35,26,0,8
2006-11,27,38,22,0,7
2006-12,22,31,24,0,7
2007-01,26,37,23,0,6
2007-02,32,36,20,0,5
2007-03,33,38,21,0,8
2007-04,29,32,19,0,7
2007-05,31,30,20,0,7
2007-06,31,30,19,0,7
2007-07,28,31,19,0,6
2007-08,36,30,24,0,5
2007-09,29,25,22,0,5
2007-10,31,27,20,0,5
2007-11,36,28,18,0,6
2007-12,29,25,15,0,5
2008-01,30,22,18,0,6
2008-02,32,21,14,0,6
2008-03,32,23,16,0,6
2008-04,34,21,14,0,7
2008-05,34,21,15,0,7
2008-06,31,21,14,0,8
2008-07,36,22,16,0,6
2008-08,28,17,14,0,7
2008-09,35,17,18,0,7
2008-10,37,18,17,0,5
2008-11,37,18,16,0,7
2008-12,33,19,14,0,6
2009-01,36,14,15,0,6
2009-02,41,19,17,0,7
2009-03,45,17,15,0,7
2009-04,43,17,16,0,5
2009-05,40,15,14,0,6
2009-06,40,15,14,0,5
2009-07,43,17,13,0,5
2009-08,38,15,15,0,5
2009-09,43,15,13,0,6
2009-10,44,14,13,0,5
2009-11,45,13,13,0,6
2009-12,42,12,13,0,5
2010-01,44,12,12,0,6
2010-02,44,12,12,0,6
2010-03,49,14,12,0,6
2010-04,52,12,12,0,7
2010-05,46,12,12,0,6
2010-06,52,11,13,0,5
2010-07,47,10,14,0,5
2010-08,49,12,13,0,6
2010-09,48,9,12,0,7
2010-10,49,10,11,0,6
2010-11,52,9,10,0,8
2010-12,47,10,9,0,6
2011-01,45,8,9,0,5
2011-02,49,8,10,0,6
2011-03,50,9,11,0,6
2011-04,51,9,11,0,5
2011-05,47,8,10,0,5
2011-06,47,8,10,0,6
2011-07,49,7,9,0,5
2011-08,46,8,11,0,5
2011-09,47,7,10,0,6
2011-10,51,7,8,0,5
2011-11,49,7,10,0,6
2011-12,43,6,8,0,7
2012-01,44,6,8,0,6
2012-02,47,7,10,0,6
2012-03,51,7,9,0,6
2012-04,48,7,8,0,5
2012-05,49,7,8,0,5
2012-06,47,7,9,0,5
2012-07,47,8,9,0,5
2012-08,47,8,9,0,6
2012-09,47,7,9,0,6
2012-10,52,7,8,0,5
2012-11,50,6,7,0,5
2012-12,42,5,6,0,5
2013-01,47,6,8,0,5
2013-02,51,6,8,0,5
2013-03,51,6,8,0,6
2013-04,52,7,8,0,9
2013-05,47,6,7,0,7
2013-06,49,6,7,0,5
2013-07,49,6,8,0,6
2013-08,46,6,7,0,6
2013-09,48,6,7,0,6
2013-10,54,5,7,0,6
2013-11,53,6,7,0,7
2013-12,46,5,6,0,5
2014-01,51,5,6,0,5
2014-02,53,6,7,0,5
2014-03,53,6,7,0,5
2014-04,54,6,7,0,6
2014-05,50,5,6,0,5
2014-06,49,5,7,0,6
2014-07,47,5,6,0,5
2014-08,48,5,6,0,5
2014-09,50,5,5,0,6
2014-10,53,5,6,0,7
2014-11,50,5,6,0,7
2014-12,44,4,5,0,6
2015-01,51,4,6,0,5
2015-02,54,5,6,0,6
2015-03,55,5,6,0,8
2015-04,56,5,6,0,6
2015-05,50,5,5,0,6
2015-06,54,4,6,0,6
2015-07,54,5,5,0,6
2015-08,50,5,5,0,7
2015-09,54,4,6,0,9
2015-10,56,4,5,0,7
2015-11,57,4,6,0,7
2015-12,51,4,4,0,7
2016-01,58,4,5,0,7
2016-02,65,4,6,0,7
2016-03,72,5,6,0,10
2016-04,70,5,5,0,8
2016-05,64,5,6,0,10
2016-06,70,5,6,0,8
2016-07,63,4,5,0,9
2016-08,62,4,6,0,9
2016-09,66,4,5,0,10
2016-10,71,4,4,0,10
2016-11,77,4,6,0,10
2016-12,66,3,4,0,11
2017-01,74,4,5,0,10
2017-02,78,4,5,0,12
2017-03,86,4,4,0,13
2017-04,81,4,5,1,12
2017-05,79,4,4,1,13
2017-06,79,4,5,0,13
2017-07,76,3,5,1,12
2017-08,75,4,4,1,14
2017-09,78,4,4,1,15
2017-10,82,3,5,1,15
2017-11,85,4,4,0,15
2017-12,74,3,4,1,15
2018-01,81,4,4,1,15
2018-02,84,3,4,1,19
2018-03,83,4,4,1,18
2018-04,83,3,4,1,18
2018-05,83,4,4,0,18
2018-06,82,3,3,1,19
2018-07,80,3,4,1,18
2018-08,78,4,4,1,21
2018-09,80,3,5,1,19
2018-10,85,3,4,1,19
2018-11,84,3,4,1,19
2018-12,72,3,3,1,17
2019-01,80,3,4,1,19
2019-02,84,2,4,1,18
2019-03,85,3,4,1,19
2019-04,87,3,4,1,21
2019-05,86,3,3,1,21
2019-06,84,2,4,1,21
2019-07,90,3,4,1,22
2019-08,91,3,4,1,24
